id,sentence,difficulty
1206,Mon mari a enfin trouvé une place d'architecte et travaille sur un important projet de construction avec son équipe.,B1
1207,C'est somptueux.,A2
1208,Bonne chance!,A1
1209,J'ouvrais la porte et le chien courait dehors.,A2
1210,"Mais prétendre être les seuls acteurs légitimes à définir et normaliser le commerce équitable, c'est nier d'autres pratiques et refuser de débattre avec tous les acteurs de la société civile, ce qui est inacceptable.",C1
1211,"Non, je ne parle pas français.",A1
1212,Il est tombé malade l'année précédant son mariage.,B2
1213,Les maires voulaient montrer qu'ils regardaient.,B1
1214,"Il allait devoir passer l'hiver ici, dans la forêt, en attendant d'être guéri.",B1
1215,Il est très en colère parce qu'elle ne lui a pas répondu au téléphone.,A1
1216,"Il, un ancien soldat, devinant d'abord le plan de campagne de son interlocuteur, a parlé des protections de son maître, ajoutant que, bien sûr, il ne serait pas battu avec ses beaux chevaux.",C1
1217,Je ne te crois pas.,A1
1218,Le journal a été balayé par un coup de vent.,B1
1219,"Les optimistes soulignent qu'il ne représente toujours qu'une partie infinitésimale du commerce international, mais que le concept est « porteur ».",C1
1220,"Sans y penser, j'ai fait des erreurs!",B1
1221,"Quand vous sortirez de l'ascenseur, tournez à droite et encore à droite.",A2
1222,"Et il regarda tous ces hommes vêtus et ivres, tous ces hommes qui pouvaient éteindre leur soif aussi longtemps qu'ils l'aimaient.",B2
1223,Elle a préparé les photocopies pour les participants à la réunion de l'après-midi.,B1
1224,"« En France, si je parle anglais à mon fils, il me répond plutôt en français.",B1
1225,Capacités intellectuelles ou problèmes d'orientation?,B2
1226,Pour affronter ce monde et l'améliorer.,A2
1227,"Deux guerres mondiales, en 1914 et 1939, ont cependant convaincu de nombreux Européens que le Concert européen avait échoué et ne pouvait plus gérer les affaires du continent.",C2
1228,Il y a des cours de portugais.,A1
1229,Les spécialistes de la violence chez les adolescents rappellent qu'il est dangereux de les considérer comme une armée menaçante.,B1
1230,"Malheureusement, ce n'est qu'une moyenne.",B1
1231,Le paysage devient blanc à cause de la neige et de la glace.,A1
1232,"Dans l'après-midi, j'ai encore beaucoup à faire.",A2
1233,"En fait, la nature peut être complètement changée par l'homme, transformée, secouée à ses fondements, et c'est pourquoi il est nécessaire de réhabiliter le mot de magie, lui donnant le sens honorable qu'il avait autrefois et désignant ainsi une science précisément ambitieuse qui, à partir de la connaissance des formes cachées, déduit des opérations étonnantes.",C2
1234,Le bleu est très présent dans la nature : c'est la couleur du ciel et de la mer.,A1
1235,"Elle fait ses devoirs, prépare le dîner et enfin, elle regarde un film avant d'aller se coucher.",A2
1236,Pas de fête avec toi ce soir.,A1
1237,Je n'ai pas pu dormir depuis quelques jours à cause de mes voisins et de leur travail.,A2
1238,"Il s'agissait d'une créature gaspillée, d'une masse de chair ridée, avec des paupières entre les mailles, éclairées et à peine débusquées.",C2
1239,J'aime les pommes de terre.,A1
1240,Elle a eu peur et s'est enroulée sur sa branche où elle est.,B2
1241,"Mesdames et messieurs, votre attention, s'il vous plaît.",A2
1242,"Au cours des 50 dernières années, les progrès de la technologie de l'information ont entraîné une augmentation extraordinaire de la circulation de l'information.",C1
1243,Je regarde un film en allemand.,A1
1244,Les vacances sont les moments préférés de Pierre parce qu'il va généralement à ses grands-parents qui vivent dans une ferme dans la campagne normande.,A1
1245,Sois un Turc qui va chez Paul Niquet la nuit!,B2
1246,La comtesse était passionnée par le caractère primitif et l'astrologie de l'abbé Blanès.,C1
1247,"Pour décourager ses élèves de l'école secondaire de faire des beaux-arts, de l'école de cirque ou d'un diplôme d'arts de la scène, un directeur avait l'habitude de leur raconter cette histoire: ""J'avais deux amis",C1
1248,"Perrette, retenant sa respiration si forte était l'odeur des nausées de vider l'huile, dans la chambre-garage.",C1
1249,"Néanmoins, l'introduction du concept de genre dans la santé conduit à une meilleure compréhension des processus biologiques et sociaux intrigués qui influencent les trajectoires de santé des hommes et des femmes.",C1
1250,"Pour éviter les deux mois de vacances, ils achètent leur potion dans les librairies pour un investissement moyen de 7 euros",C2
1251,Le courant d'air ainsi créé permet à la sueur - qui absorbe la chaleur du corps - de s'évaporer et ainsi de la refroidir.,B1
1252,"La pelle, les pinces et les soufflets, dont la proportion était colossale, brillaient comme de l'acier poli, tandis que le long des murs il y avait une batterie de cuisine abondante, où la flamme lumineuse du foyer, combinée aux premières lumières du soleil venant à travers les carreaux, brillait inégalement.",C2
1253,Mais les chiens et les chats ne s'aiment pas beaucoup.,A1
1254,"Il offre les meilleurs guides, grimpe les montagnes, fleurit",C1
1255,Les préadolescents et les adolescents semblent particulièrement sensibles.,B2
1256,"Les cordes vocales sont des muscles, et donc, j'ai un entraînement quotidien parce que nous devons être connectés à des enregistrements qui ont parfois 10 ou 15 ans.",B2
1257,"Elle l'a trouvé drôle, a fini par rire, et, s'animant elle-même, a commencé à trotter derrière lui, avec de légers cris joyeux et effrayants, quand elle avait cru que 143 l'avaient saisi.",C2
1258,Il fait ses valises.,A2
1259,"Tout comme la révolution industrielle a vu naître le capitalisme, je suis convaincu que la corruption changera profondément notre système économique.",B2
1260,"Par exemple, 28 % des femmes vivant en milieu urbain à haut niveau socioéconomique au Brésil ont connu une réduction de l'embonpoint de 1989 à 1997.",C1
1261,Cette réponse m'a bouleversée.,C2
1262,"Je pense qu'il y aurait une bagarre, hein?",A2
1263,"Tu ne mérites pas de le manger, dit l'autre.",A2
1264,"Roger Rougier, étudiant à la retraite en éducation nationale, a sa réponse.",C1
1265,Tout va bien en France?,B1
1266,"Non, c'est une fleuriste.",A1
1267,"Sans enfants à l'âge de cinquante-neuf ans, Guido avait, de son cœur, préparé pour que son enfant vienne un cœur modelé sur son propre souci: l'hommage sans remords à la noblesse, la genufléction faite par contraction musculaire le corps poursuivi par la paresse devant ce qui est imminent et inaccessible comme devant une grande chaleur.",C2
1268,Le plat est-il plié sous le poids ou non plié?,C2
1269,"Et vous entendez ce violon jouer klezmer, la musique traditionnelle des juifs itinérants?",B2
1270,"Un principe qui s'applique déjà à de nombreux produits tels que l'emballage, les textiles et les pneus.",B2
1271,"Non, bien sûr.",A2
1272,J'ai une sœur.,A1
1273,Et je mets un défi collectif par terre!,B2
1274,"En étant connecté en permanence à ses amis et en étant capable de « rattraper » des environnements en ligne familiers, tels que sa page Facebook, son compte Twitter ou son histoire Snapchat, la personne, loin de son environnement familier, ne se sentirait pas alors plus en sécurité émotionnelle, comme dans sa maison où il a ses repères rassurants et ses habitudes?",C2
1275,La blanquette est bonne.,A2
1276,L'Empereur était à Paris.,B1
1277,"Mon nom est Laurent et je vis à Paris avec mes parents, ma sœur aînée et mon frère.",A2
1278,"Puis il y eut une pause sombre, suivie d'un grand soupir d'agonie où on disait que l'âme de la grande cloche exhalait.",C2
1279,La règle de limitation de la dette devrait traiter les dépassements de dépenses et les économies de manière symétrique.,C1
1280,"La spirale vicieuse, ce mécanisme qui pousse vers le bas, n'est pas, dans le discours des cercles populaires, liée à une situation négative.",B2
1281,Ils ne se sont pas parlé depuis qu'ils se sont disputés.,B1
1282,"Pour Yak Rivais, la langue fait certainement fonctionner le cerveau, mais aussi l'œil et l'oreille.",B2
1283,"En brisant le fatum des voies sociales, en augmentant le temps de formation, en augmentant l'autonomie des individus, les sociétés modernes ont inventé la jeunesse, et elle continue de grandir, jusqu'à 25 ans et au-delà.",B2
1284,"Je ne vais pas me coucher trop tard, vers minuit.",A1
1285,"""Nous allons essayer à nouveau (ndlr: pour entrer en contact avec lui). Mais les chances de rétablir le lien sont très faibles"", a déclaré l'AFP Stephan Ulamec, Lander Manager, de l'Agence spatiale européenne (ESA) à Darmstadt (Allemagne).",B2
1286,"Pour parfaire ce tableau, ajoutons que ces aînés ont reçu de la science la perspective d'un quart de siècle de longévité supplémentaire traversé en relativement bonne santé.",B2
1287,"Une fois que ces déclencheurs ont été identifiés, des stratégies doivent être élaborées pour les éviter ou y répondre.",C2
1288,Ils se sont réveillés très tôt hier matin afin d'aller au tribunal pour plaider le cas de leurs maris injustement accusés de fraude.,C1
1289,"Après transfusion, le sang provenant d'un don complet de sang ou d'aphérèse est congelé à une température inférieure à 30 degrés Celsius et mis en quarantaine.",C2
1290,"Mais pouvons-nous nous contenter de cette expérience immédiate ou de la formulation de Bergson, de ces « données immédiates de conscience »",C2
1291,La société qui la gère est principalement anglaise.,B1
1292,Je profite également du petit déjeuner pour lire l'information en ligne,A1
1293,"Toutefois, ce système répond à des critères précis et exigeants, qui sont difficiles à concilier avec le développement à grande échelle auquel il est appelé.",C1
1294,"Oui, la raison a peut - être été prise en compte par la théologie païenne.",C1
1295,"Confronté à rien de pire qu'un général en cuir criant et à ces mouvements légèrement frappants qui sont communs aux personnages militaires, qui semblent sucer l'air à l'intérieur, sentir la poudre à canon et la chair de cheval, et, bien que léthargique, semblent prêts à participer à une guerre indéterminée (type d'hommes pour lesquels Hedwige avait ressenti beaucoup d'inclination), Guido avait été secoué par un tremblement invisible.",C2
1296,"L'objectif de cette action était dès le départ d'aider les enseignants à enseigner la science et la technologie en mettant en œuvre une pédagogie axée sur l'expérimentation, la discussion, la pratique active et collective.",C2
1297,"Elle portait une robe brune foncée, qui abaissait sa taille, ses hanches, sa gorge, ses bras d'une manière provocatrice et coquette; et Duroy connut un étonnement confus, presque un embarras dont il ne comprenait pas bien la cause, du désaccord de cette élégance soignée et raffinée avec l'insouciante visible pour la maison dans laquelle elle vivait.",C2
1298,"Les papy-boomers sont individualistes, et ce sont eux qui mettent le concept en vogue.",B2
1299,Une politique de sécurité est un outil de gouvernance qui traite la sécurité comme un processus de gestion continu fondé sur des objectifs stratégiques clairement définis.,C1
1300,Tout le monde n'a pas l'argent pour acheter une machine à laver.,B1
1301,"Lettres de motivation, d'amour ou de rupture, de relecture de mémoires d'étudiants, de textes d'hommage à lire et à distribuer pendant les funérailles, de situations administratives à enchevêtrer avec la banque, les impôts ou la copropriété, l'écrivain public doit être en mesure de répondre à toutes les demandes.",C1
1302,Et je vous remercie pour tout votre travail.,A2
1303,Elle a réalisé qu'elle travaillait dans l'obscurité et a allumé la lampe sur le bureau.,B2
1304,"Au premier étage, il y a trois chambres",B1
1305,Paul a le numéro de téléphone de Mary.,A1
1306,Ils font de la nourriture et ils nettoient toujours la cuisine juste après.,A2
1307,Et je fais la même chose : on s'amuse!,A2
1308,"En 2001, Rosalie a expliqué à l'ONU, au Groupe de travail sur les peuples autochtones, comment la survie du bison sauvage est essentielle et symbolique pour les Indiens des plaines.",C1
1309,"Si vous avez trouvé la vidéo amusante, pensez à aimer notre chaîne YouTube et notre page Facebook",C1
1310,"Par peur des représailles, il y avait moins de manifestants mardi dans la rue.",B2
1311,"Cette histoire fascine encore notre science-fiction, Blade Runner de Ridley Scott (1982) ou Her de Spike Jonze (2013).",B2
1312,"Mon énergie, mon temps, mon argent.",A2
1313,Que pensez-vous de ce tableau?,A1
1314,"En France, l'éducation catholique a été la première à oser briser le tabou en discutant des vices et des vertus de la mixité depuis sa fondation en décembre 2000.",C1
1315,"Si nous sommes coincés dans l'ascenseur qui s'est arrêté brusquement, nous appellerons à l'aide dès que la communication sera établie.",B2
1316,"Il vient de la racine slave ""robota"" qui signifie travail de force.",C2
1317,Il a donc rejeté toute modification des modes de vote qui permettrait d'introduire des mécanismes partisans et abstraits dans ces communautés où l'affiliation politique des élus est très peu prise en compte.,C1
1318,Mais les chocs pétroliers plongent la France dans la crise,C1
1319,Il demande aux États de prendre toutes les mesures possibles dans la pratique pour faire en sorte que les membres de leurs forces armées qui n'ont pas atteint l'âge de 18 ans ne participent pas directement aux hostilités (art.,B1
1320,"Vous êtes biologiste, activiste passionné de cette pédagogie, vous nous expliquerez pourquoi le sujet est passionné par vous.",C1
1321,"Souvent, elle était rêveuse et taciturne; parfois, elle parlait impétueusement.",C2
1322,La dame ne viendra pas.,A1
1323,"Après cette crise, qui se renouvelle tous les soirs, je dors enfin, calmement, jusqu'à l'aube",B2
1324,Elle raconte leur vie quotidienne à travers les enfants qu'elle a également aidé à faire leurs devoirs.,A2
1325,Vous pouvez également voir la rivière qui traverse la capitale,B1
1326,"Bruno Bonnell L'ancien adage ""nous n'arrêtons pas les progrès"" n'a jamais été aussi animé. D'autres pays s'équipent en robotique pour atteindre des taux de productivité plus élevés que les nôtres.",C1
1327,"La plupart du temps, cependant, les jeunes sont heureux, ni aussi tragiques ni aussi banals que les clichés en tirent.",B2
1328,Les sapins noirs élevés interdisaient au soleil d'entrer dans le sous-bois où un chemin sombre bordé de silhouettes menaçantes était prêt à sauter sur nous.,C2
1329,Il s'est malheureusement arrêté à la porte d'un cabaret.,B1
1330,Ouais!,A1
1331,"Et des trous éclatent dans ces alluvials d'espace, infundibuliformes, des trous rouges, à travers lesquels filtreront une lumière de lanterne sourde.",C2
1332,L'œuvre permet à l'homme de se libérer d'aspects contraignants liés à l'existence humaine.,C2
1333,"Je ne savais pas que, beaucoup plus tristement que les petits écarts de régime de son mari, mon manque de volonté, ma santé délicate, l'incertitude qu'ils projetaient sur mon avenir, étaient préoccupés par ma grand-mère pendant ces promenades incessantes de l'après-midi et du soir, où on pouvait voir passer et repasser, élevé obliquement vers le ciel, son beau visage avec des joues brunes et sillonnées, devenir au retour de l'âge presque violet comme le labour à l'automne, barré, si elle sortait, par un voile à moitié levé, et sur lequel, amené là par le froid ou une pensée triste, était toujours sèche un pleurs involontaire.",C2
1334,"Les taxes sur l'énergie comprennent principalement les taxes sur le carburant, la taxe sur le CO2 et le supplément pour le transport d'électricité.",C1
1335,J'y suis allé hier en scooter.,A2
1336,Tu étais ma meilleure amie et tu as toujours eu beaucoup de bonnes idées pour t'amuser.,A2
1337,"Oui, comme entrée?",A1
1338,Il a demandé la raison de cette décision.,A2
1339,"Si c'est beau, l'après-midi vous pourrez aller au jardin du Luxembourg.",A1
1340,"Cependant, dans les années 1890, des garçons de barbier et des employés des grands magasins ont démontré, avec l'appui de la CGT, qu'ils avaient droit à une demi-journée de repos hebdomadaire.",C2
1341,"De même, en mai 2002, le Gouvernement de la République du Congo (RDC) s'est engagé à démobiliser des milliers d'enfants qui servent dans son armée.",B1
1342,Personne ne s'intéressait au discours du député.,B1
1343,Apprenez à un enfant qu'il peut réussir.,A2
1344,Vous ne passerez pas!,A2
1345,Il avait pris le couloir étroit menant aux dortoirs des filles.,C2
1346,"Quelles teintes gouilleuses, quelles curiosités grossières n'étaient pas l'objet et la victime!",B2
1347,Cette période marque l'arrivée de Noël et les célébrations de fin d'année.,A1
1348,Bien sûr que tu y vas.,A1
1349,Il a trouvé un petit ami.,A1
1350,"En France, le début des vacances est souligné par les soldes d'été",B1
1351,"Elle s'est retrouvée dans les lectures de sa jeunesse, au milieu de Walter Scott.",C1
1352,"Dans cette lettre au Père Noël, ils énumèrent méticuleusement tous les cadeaux qu'ils aimeraient avoir au pied de l'arbre.",B2
1353,"Il avait naturellement conçu le désir de répéter ces prouesses et, dès qu'il avait seize ans, il commença à exercer.",B2
1354,"La deuxième étape de notre projet, axée sur la « protection », est en place depuis 2017, notamment avec nos mesures d'éducation, telles que la duplication des classes.",C1
1355,"J'étais trop fatiguée, c'était impossible pour moi de continuer!",B1
1356,Il avait une consolation.,C1
1357,"Dans cette région, les densités annuelles du campagnol terrestre connu au niveau de la commune ont été attribuées aux taches de prairie en utilisant la pondération relative de la surface pour les taches qui chevauchent plusieurs municipalités; à la fin de cette opération, chaque tache de prairie était caractérisée par une densité annuelle du campagnol terrestre.",C1
1358,"Si les enfants écrivent une lettre au Père Noël, répondra-t-il?",B1
1359,"Il avait lu que j'étais un homme honnête, un travailleur régulier, infatigable, fidèle à la maison qui l'employait, aimé de tous et compatissant de la misère des autres.",C2
1360,"Après son enfance à Vinci, Léonard fut élevé au célèbre peintre et sculpteur florentin Andrea del Verrocchio.",B2
1361,"Je me suis plaint à la mairie, mais ça ne sert à rien!",B1
1362,La Diascalia offre un éclairage complètement nouveau de l'œuvre.,C2
1363,Pouvons-nous parler de sujets sérieux avec un accent du Sud de la France?,B1
1364,"J'aimerais la clé, s'il vous plaît.",A1
1365,Lucie a bravé sa cavatine dans un terrain important; elle s'est plainte de l'amour et a demandé des ailes.,C2
1366,La science en fait partie.,B1
1367,"Affirmant cela, j'entends déjà les ayatollahs de la queue de vin, les sermonnistes de la sauce Bearnaise, les adeptes de la sole meunière se lever comme un seul homme brandissant leur Gault et Millau et leur Michelin.",C1
1368,"Vous pouvez assister à des cours de danse, de hockey et de gym.",A1
1369,Le public doit être encouragé à refuser les pailles en plastique.,B2
1370,Qu'est-ce qu'ils font?,A1
1371,"Si tu me dis où tu as passé l'hiver, je te donnerai beaucoup d'argent.""",A2
1372,Un automobiliste a été arrêté pour avoir brûlé un feu rouge.,B1
1373,"Quel type d'hébergement cherchez-vous : un appartement, une maison?",B1
1374,L'épidémie de coronavirus nous force à vivre l'incertitude de notre existence comme une dégradation temporaire.,C2
1375,Tu pleurais beaucoup.,A2
1376,"Je recommande vraiment la Brasserie du Métro qui est mon restaurant préféré, vous ne le regretterez pas si vous allez",B1
1377,"La dame au premier étage, probablement la même qui m'a parlé au téléphone, me dit que M. Lindon m'attend dans son bureau.",B1
1378,"Quand j'ai quitté chaque étape, mes enfants ont dessiné l'endroit ou une personne qu'ils y avaient rencontrée.",C2
1379,"Il savait poursuivre les poulains à moitié sauvages dans les prairies, comment les approcher en secret, les surprendre par un saut et les garder par la force, par la fatigue.",B2
1380,Le cheval est venu au galop et a sauté par-dessus la clôture.,B2
1381,"En tant qu'ingénieur et inventeur, Léonard développe des idées bien en avance sur son temps, des prototypes d'avions, d'hélicoptères, de sous-marins et même d'automobiles.",C1
1382,"Il remplissait le cœur de ces lamentations mélodiques qui traînaient sur l'accompagnement des basses, comme les cris des naufragés dans le tumulte d'une tempête.",C1
1383,"Pour lutter contre l'anglicisme, la Commission générale de terminologie et de néologie recommande des termes français, parfois peu utilisés.",C1
1384,"Oui, exactement comme moi!",A2
1385,"C'est un petit appartement, sans beaucoup de confort, mais à proximité du centre-ville.",B1
1386,"C'est le cas à Nowra, à l'ouest de Sidney, où notre envoyé spécial Murielle Paradon a pu rencontrer quelques sexagenaires qui ont trouvé refuge dans sa voiture.",B1
1387,La décision finale sera prise lors de la prochaine conférence à Buenos Aires.,C1
1388,Nous voulions visiter le musée et nous devions payer l'entrée.,B1
1389,"Elle s'occupait de moi : j'ai formé mille projets ; j'ai inventé mille moyens de conquête, avec cette fatueuse sans expérience qui se croyait sûre du succès parce qu'elle n'a rien essayé.",C2
1390,"Le soir, vous devez rentrer chez vous sur le même chemin que le matin.",A2
1391,Les nominations présidentielles exigent 51 voix pour être approuvées par le Sénat.,B2
1392,J'aime beaucoup l'école.,A1
1393,"Le respect, l'égalité, c'est ce que veulent les jeunes.",A2
1394,Je vais mettre la tasse sur la table.,A1
1395,"Comme leurs enfants, bref, à qui ces jeunes aînés ont l'air furieux.",C1
1396,"La femme méchante ne reviendra certainement pas. » Le démon est parti bientôt, et il s'est précipité dans le trou, où, hélas, il a trouvé la femme méchante.",B1
1397,Nous devons aider les enfants à y arriver.,A2
1398,Cet acteur a joué dans plusieurs pièces que mon frère avait écrites.,C2
1399,Je sauterai et tu n'auras jamais les plans!,A2
1400,"Et ici, d'un autre côté, ça pourrait m'être utile.",A1
1401,"Malheureusement, sa conduite était plutôt noble et généreuse que tendre.",B2
1402,Mais qu'est-ce que Jules fait?,A1
1403,"Parfois une tendance prévaut, parfois l'autre; mais jamais, parmi tant d'arguments, ne se pose la question essentielle.",C2
1404,"Mon fils a de bonnes notes en français, c'est son sujet préféré.",B1
1405,"Il est dommage que les autorités, qui sont en grande partie responsables de cette situation, soient appelées à le faire, quelle que soit la couleur politique des gouvernements successifs.",C2
1406,"Puis je descendais avec Daffy, mon canard farci, et mâchais mon os moulu ou chantais pour courir avec la radio du voisin.",C1
1407,Je ne sais pas si j'ai assez d'argent pour t'accompagner.,A2
1408,"Dans les Caraïbes anglophones, 25 % des hommes et 50 % des femmes sont déjà obèses.",C1
1409,Sa voiture rouge est très rapide.,A1
1410,"Parce que le soleil est plus foncé que les Européens blancs, il leur offre une protection naturelle contre le soleil parce que les UV, qui est très intense dans cet environnement désertique, atteignent des couches moins profondes de l'épiderme (50 % ou plus pour un œillet léger, 15 % pour une peau noire).",C1
1411,L'asile est le terrible creuset où l'identité du vagabond est forgée.,C1
1412,"Son rêve, lorsqu'il poursuit l'histoire elle-même, est d'obtenir une friction régulière, sans friction ni bosse, qui est incarnée dans la roue et la trajectoire circulaire, leitmotiv et pontif de toutes les Expositions Universelles, de la Grande Roue de Ferris jsuqu au gyrotron, en passant par le tapis circulaire de Paris 1900 et le Rocket Ship de New York 1939.",C2
1413,Illusion de l'ignoble qui attire tant d'êtres!,C1
1414,"Il ne s'est pas baigné, il ne s'est pas reposé.",A1
1415,"De nombreuses expériences sérieuses et importantes attestent que ces enfants bilingues sont beaucoup plus favorisés pour un bon apprentissage des mathématiques, et plus généralement pour des opérations mentales basées sur l'abstraction.",C2
1416,"Nous avons une grande maison avec un chien, un poisson et deux chats.",A1
1417,"Les guerres, l'instabilité politique sont la principale cause de famines et de pénuries dans le monde d'aujourd'hui, a déclaré Bertrand Hervieu.",C1
1418,"Tous les samedis, les élèves de l'école de journalisme organisent des discussions dans le cybercafé du centre.",B1
1419,Attribuer des qualités que nous ne possédons pas.,B1
1420,"Si l'individualisme est basé sur le culte de chaque personne pour lui-même, l'individualisation correspond à une culture de choix, chacun affirmant son autonomie, sa capacité à diriger son action sans être contrôlé ou contraint.",C1
1421,"Je vois l'intérêt de cet appareil, mais je n'en ai pas l'usage.",B1
1422,"Oui, c'est pour combien de personnes?",A1
1423,"L'outil de travail est le téléphone, avec lequel nous faisons tout : conseils, ventes, suivi commercial mais surtout des ventes.",B1
1424,"Madame la Baronne, qui pesait environ trois cent cinquante livres, attira ainsi une grande considération, et fit les honneurs de la maison avec une dignité qui la rendait encore plus respectable.",C1
1425,"Le repas est servi sur une table lumineuse, couverte de bougies et de petits santons",B2
1426,"Tu pourrais ranger ta chambre, ça t'aiderait à les trouver!",A2
1427,"Le 7 mars 1815, les dames étaient de retour, de la nuit, d'un charmant petit voyage de Milan; elles marchaient dans le beau sentier des platanes, récemment étendu sur le bord extrême du bateau apparut, venant du côté de Côme, et faisaient des signes singuliers.",C1
1428,"Ce n'était pas le cas il y a cent ans, et c'est très bien.",A2
1429,Les textes ici louent le même rôle que les échanges épistolaires: ils sont un moyen de se souvenir de la passion,C1
1430,Mais la chute de Neera Tanden annonce les autres batailles plus difficiles à venir au Sénat,B2
1431,"Passionnée par l'histoire des civilisations manquantes, elle veut être archéologue.",C1
1432,"Grâce à un professeur, il a finalement commencé à s'intéresser à l'école.",B1
1433,"Il y a un an, j'ai décidé de ne plus manger de viande.",A2
1434,"Le comte m'a découvert dans le genre de retraite où j'avais pris refuge; il est venu à moi, m'a pris par la main, et m'a conduit à Ellenore.",C2
1435,Je suis allé voir un médecin parce que je n'arrivais pas à dormir.,B1
1436,"La signification des textes, qui est confondue avec ces deux expériences, semble clairement inséparable du changement pragmatique, volontairement institué, entre l'œuvre philosophique et le ridicule d'une énonciation musicale.",C2
1437,"Ses sœurs étaient tellement excitées par son projet, qu'elles l'embrassèrent avec une joie si bruyante qu'il prit dans sa main des diamants qui restaient à cacher, et voulurent partir immédiatement.",C1
1438,"HomeExchange, la plate-forme par laquelle la famille a déménagé, a vu ses demandes d'échanges à domicile entre particuliers doubler cet été par rapport à l'année dernière.",B1
1439,"Laissez-le revenir, s'il ose!",B1
1440,"Un âne, son sceptre à la main, menait, en tant qu'empereur romain, deux courriers de longue date.",B2
1441,"Cependant, Internet et les réseaux sociaux mobilisent toute notre attention et ne nous permettent pas de trouver cette paix d'esprit.",C1
1442,Londres est différent de Paris.,A1
1443,"La chasse est également liée à l'exploitation forestière, le commerce du gibier offrant des opportunités lucratives.",B2
1444,"Je vais lui donner un livre que j'aime vraiment, ""Kurt et le poisson"", tu sais?",A2
1445,J'ai vu Christine et elle m'a dit que ça allait.,A2
1446,"Donc, dans mon quartier personnel, je prépare une centaine de clients ce soir.",A2
1447,"Il y a beaucoup à faire à Paris, croyez-moi.",A1
1448,Il veut les surprendre.,A2
1449,"Si j'ai un accident, mon cœur ou mon foie peuvent être utilisés.",B1
1450,"Le slogan ""100% de nos clients achètent nos produits"" est une tautologie.",C2
1451,"Pour se rendre en Sibérie, à Venise, dans le monde entier, pour essuyer une tempête dans l'Atlantique, ou pour reconstruire une entreprise sur une île déserte, il suffit d'ouvrir un livre",C2
1452,"Dans le cadre d'une recherche en sociolinguistique urbaine, qui s'intéresse à la question des jeunes sur la voie de l'intégration sociale et professionnelle, travaillant dans des centres de formation, nous nous sommes interrogés sur la construction et l'hétérogénéité des interactions dans le contexte de situations de communication données, qui se reflète dans la diversité du corpus collecté.",C2
1453,"Après la chute de Napoléon, quelques figures puissantes à Milan ont fait frapper dans les rues le comte Prina, ancien ministre du roi d'Italie, et un homme de premier mérite.",C1
1454,Je n'aime pas dessiner.,A1
1455,"À 40 ans, c'est épuisé.",B2
1456,"Jusqu'à cette histoire exceptionnelle qui est Migrations, la première romane australienne Charlotte McConaghy, sur des vies sans souffle.",C1
1457,Qu'est-ce que tu fais?,A1
1458,J'ai deux frères.,A1
1459,"Elle acheta un bateau que Fabrice, la marquise et elle décora de leurs mains, car il n'y avait pas d'argent pour tout, au milieu du plus bel état de maison; depuis sa honte le marquis del Dongo avait augmenté avec les fascistes aristocratiques.",C1
1460,"Un garçon qui est tombé du Midi à Paris, avec la gentille audace d'un aventurier et, dès le lendemain, des histoires de femmes, une exploitation continue de la femme, le scandale d'un flagrant délit, dont le quartier parlait encore ; puis, la conquête soudaine et inexplicable de Mme Hédouin, qui lui avait apporté le bonheur des dames.",C2
1461,Un bruit qui se produit dans l'estomac quand vous avez faim.,A2
1462,Une saison parfaite pour les sorcières,A1
1463,Il est entré dans la mauvaise pièce et a surpris des étrangers.,B1
1464,"Cette deuxième explication plus tard semble avoir l'avantage pour certains d'enlever les Amérindiens de l'équation, qui instillera sa crédibilité",B2
1465,"Parfois, j'essayais de forcer mon ennui; je me réfugiais dans une profonde tacitturnité: cette tacitturnité était prise comme dédain.",C2
1466,Bonne semaine et à bientôt Merci beaucoup Lida!,A1
1467,"Mais vous pouvez aussi imaginer un robot allié ou compagnon, ou même un amant.",C2
1468,C'est un travail très complet.,A1
1469,"Elle m'a dit ce qu'elle avait souffert en essayant de s'éloigner de moi; qu'elle avait parfois espéré que je la découvrirais malgré ses efforts; comment le moindre bruit qui lui a frappé les oreilles lui semblait annoncer mon arrivée; quel trouble, quelle joie, quelle crainte elle avait ressentie en me voyant; par quelle méfiance d'elle-même, pour concilier l'inclination de son cœur avec prudence, elle s'était engagée dans les distractions du monde, avait cherché la foule qu'elle avait auparavant fuie.",C2
1470,"Alors, nous allons bien distinguer dans les dettes : les dettes publiques, privées, multilatérales.C'est parce que de quelles dettes parlons-nous?",B2
1471,"De là, je contemplais Ellenore : elle m'a semblé légèrement changée, elle était plus pâle que d'habitude.",C2
1472,"Sachez exactement quel sera le temps, quelles seront les soirées où vous devrez vous habiller",B2
1473,"Je pense que lire ainsi aide beaucoup à apprendre à mieux parler, à savoir plus de vocabulaire, et c'est très amusant.",B1
1474,250 nouveaux talents seront sur le marché du travail d'ici la fin de l'année.,B1
1475,Vous avez entendu ce bruit?,A2
1476,"La communication numérique offre la possibilité de répondre à de nombreux besoins existentiels, narcissiques et sociaux difficiles à satisfaire dans la « vie réelle ».",B2
1477,La moto était très peu fiable dans ses premiers jours.,B2
1478,"Selon les familles, la soirée peut être animée par des lectures de contes ou de poèmes horribles évoquant Halloween.",B2
1479,"Après 13 ans, le système articulaire et phonatoire de l'enfant se fige, ce qui explique pourquoi les adultes ont tant de difficultés à apprendre les langues étrangères.",C2
